time,position
0.000,1.000000
0.025,0.987688
0.050,0.951057
0.075,0.891007
0.100,0.809017
0.125,0.707107
0.150,0.587785
0.175,0.453990
0.200,0.309017
0.225,0.156434
0.250,0.000000
0.275,-0.156434
0.300,-0.309017
0.325,-0.453990
0.350,-0.587785
0.375,-0.707107
0.400,-0.809017
0.425,-0.891007
0.450,-0.951057
0.475,-0.987688
0.500,-1.000000
0.525,-0.987688
0.550,-0.951057
0.575,-0.891007
0.600,-0.809017
0.625,-0.707107
0.650,-0.587785
0.675,-0.453990
0.700,-0.309017
0.725,-0.156434
0.750,-0.000000
0.775,0.156434
0.800,0.309017
0.825,0.453990
0.850,0.587785
0.875,0.707107
0.900,0.809017
0.925,0.891007
0.950,0.951057
0.975,0.987688
1.000,1.000000
